,0
0,34.05
1,34.05
2,34.05
3,34.05
4,33.9
5,33.15
6,30.450000000000003
7,26.099999999999998
8,19.5
9,10.799999999999999
10,-1.5000000000000002
11,-15.45
12,-22.949999999999996
13,-37.95
14,-55.5
15,-71.25
16,-80.1
17,-87.0
18,-96.75
19,-96.3
20,-94.95
21,-89.7
22,-76.8
23,-59.85
24,-48.45
25,-32.55
26,-19.2
27,-0.9
28,12.9
29,24.000000000000004
30,31.8
31,38.550000000000004
32,41.25
33,40.35
34,37.65
35,33.15
36,25.8
37,14.1
38,5.7
39,-5.249999999999999
40,-15.300000000000002
41,-27.15
42,-34.35
43,-41.85
44,-51.0
45,-56.55
46,-60.75
47,-61.8
48,-60.300000000000004
49,-55.8
50,-50.85
51,-42.15
52,-34.199999999999996
53,-25.5
54,-17.55
55,-10.05
56,-4.65
57,0.6
58,2.1
59,1.95
60,-0.3
61,-3.15
62,-9.0
63,-13.95
64,-20.7
65,-27.6
66,-33.0
67,-39.45
68,-41.85
69,-46.05
70,-48.15
71,-48.3
72,-47.25
73,-45.15
74,-43.35
75,-40.95
76,-38.4
77,-35.85
78,-34.35
79,-33.9
80,-34.05
81,-34.199999999999996
82,-34.199999999999996
83,-34.199999999999996
84,-34.199999999999996
85,-34.199999999999996
86,-34.199999999999996
87,-34.199999999999996
88,-34.199999999999996
89,-34.199999999999996
90,-34.199999999999996
91,-34.35
92,-34.199999999999996
93,-34.199999999999996
94,-34.35
95,-34.35
96,-34.199999999999996
97,-34.35
98,-34.35
99,-34.35
100,-34.35
101,-34.35
102,-34.35
103,-34.35
104,-34.35
105,-34.35
106,-34.35
107,-34.35
108,-34.35
109,-34.35
110,-34.35
111,-34.35
112,-34.35
113,-34.35
114,-34.35
115,-34.35
116,-34.35
117,-34.35
118,-34.35
119,-34.35
120,-34.35
121,-34.35
122,-34.35
123,-34.35
124,-34.35
125,-34.35
126,-34.35
127,-34.35
128,-34.35
129,-34.35
130,-34.199999999999996
131,-34.35
132,-34.35
133,-34.35
134,-34.199999999999996
135,-34.199999999999996
136,-34.35
137,-34.199999999999996
138,-34.199999999999996
139,-34.35
140,-34.199999999999996
141,-34.35
142,-34.199999999999996
143,-34.199999999999996
144,-34.199999999999996
145,-34.199999999999996
146,-34.199999999999996
147,-34.199999999999996
148,-34.199999999999996
149,-34.199999999999996
150,-34.199999999999996
151,-34.199999999999996
152,-34.199999999999996
153,-34.199999999999996
154,-34.199999999999996
155,-34.199999999999996
156,-34.199999999999996
157,-34.199999999999996
158,-34.199999999999996
159,-34.199999999999996
160,-34.199999999999996
161,-34.199999999999996
